year;city_code;product_type;product;destinated_area
1/01/17;746cc42bfb8f6b62;temporary;Others;0
1/01/17;6cce2bf873870afc;temporary;Others;0
1/01/17;4de42e351006a2ae;temporary;Others;0
1/01/17;062ce4c17e84291e;temporary;Others;0
1/01/17;86d92d4b0a058014;temporary;Others;0
1/01/17;68f01d67ad163f32;temporary;Others;0
1/01/17;71975b563db10671;temporary;Others;0
1/01/17;773cbe24d8fc9fea;temporary;Others;0
1/01/17;cf96db4cc35ea025;temporary;Others;0
1/01/17;a4d1e1ff1bc3b830;temporary;Others;0
1/01/17;9d8776ac0a78d908;temporary;Others;0
1/01/17;07bba1a59af78f2d;temporary;Others;0
1/01/17;5e1e131ec84f4c87;temporary;Others;0
1/01/17;85adcb13676b6172;temporary;Others;0
1/01/17;5b3728d86ce29fd2;temporary;Others;0
1/01/17;2ad055c7757d499d;temporary;Others;0
1/01/17;f39d21744916469c;temporary;Others;0
1/01/17;df2cd1cbe849ebd0;temporary;Others;0
1/01/17;351bc0cbcce79ec9;temporary;Others;0
1/01/17;114487007645c940;temporary;Others;0
1/01/17;a7187a1b5b870cf4;temporary;Others;0
1/01/17;c129d0cd5f1afd51;temporary;Others;0
1/01/17;c0019c9a4b4819f2;temporary;Others;0
1/01/17;d6ffd6d7dfe22d57;temporary;Others;0
1/01/17;11b6622567f98f3b;temporary;Others;0
1/01/17;3fdbc27a4bed0deb;temporary;Others;0
1/01/17;44d800c11a5f3bfa;temporary;Others;0
1/01/17;03e477d4ede00e89;temporary;Others;0
1/01/17;f4612b8b5a8223b5;temporary;Others;0
1/01/17;8e0eb10270d768f8;temporary;Others;0
1/01/17;6a7b8c3ab2bc6c38;temporary;Others;0
1/01/17;f3c2cc112eb0e6fe;temporary;Others;0
1/01/17;9ce50fa197613de1;temporary;Others;0
1/01/17;3a8618990d23351f;temporary;Others;0
1/01/17;857b720c7c979ae1;temporary;Others;0
1/01/17;505ceb6546aa8435;temporary;Others;0
1/01/17;07ed828db19fe8ca;temporary;Others;0
1/01/17;2631530645ac2ec8;temporary;Others;0
1/01/17;56aa50429893f5ca;temporary;Others;0
1/01/17;a245de687a867003;temporary;Others;0
1/01/17;9bc907eeb9e3fc52;temporary;Others;0
1/01/17;09791645137aa877;temporary;Others;0
1/01/17;164c8953d3af2bbe;temporary;Others;0
1/01/17;f1fd357c5adaa8dc;temporary;Others;0
1/01/17;773cbe24d8fc9fea;permanent;Others;0
1/01/17;85adcb13676b6172;permanent;Others;0
1/01/17;a7187a1b5b870cf4;permanent;Others;0
1/01/17;a245de687a867003;permanent;Others;0
1/01/17;cf96db4cc35ea025;permanent;Others;1
1/01/17;d42d0e216f57b2ae;temporary;Others;2
1/01/17;437130e27b6165ec;temporary;Others;2
1/01/17;60982e0f7928740a;temporary;Others;2
1/01/17;5e1e131ec84f4c87;temporary;Rice;2
1/01/17;e635f6b0f8a98808;permanent;Cocoa;2
1/01/17;902f3a9003f7e637;permanent;Cocoa;2
1/01/17;41e0f8ccfe523e0d;temporary;Others;3
1/01/17;3a5d0e5eb1691b38;temporary;Others;3
1/01/17;f3c2cc112eb0e6fe;temporary;Rice;3
1/01/17;3a5d0e5eb1691b38;permanent;Açaí;3
1/01/17;f67358b81451a8d1;temporary;Others;4
1/01/17;f8e70145d73bd728;temporary;Others;5
1/01/17;764cd56389d50070;temporary;Others;5
1/01/17;fda49275fbf5caf6;temporary;Others;5
1/01/17;64a227aa24370b17;temporary;Others;5
1/01/17;746cc42bfb8f6b62;temporary;Beans;5
1/01/17;062ce4c17e84291e;temporary;Cassava;5
1/01/17;71975b563db10671;temporary;Rice;5
1/01/17;5b3728d86ce29fd2;temporary;Beans;5
1/01/17;fa005e1ffef6032a;temporary;Corn;5
1/01/17;b4829f1e221d9778;temporary;Rice;5
1/01/17;a51be58f39d1d625;temporary;Rice;5
1/01/17;051e9cc7d7636816;temporary;Beans;5
1/01/17;3a5d0e5eb1691b38;temporary;Rice;5
1/01/17;b4829f1e221d9778;permanent;Others;5
1/01/17;9ce50fa197613de1;permanent;Others;5
1/01/17;64a227aa24370b17;permanent;Açaí;5
1/01/17;5b3728d86ce29fd2;permanent;Açaí;5
1/01/17;abcadd700f8948e3;permanent;Açaí;5
1/01/17;b4bb04d2a6472ea0;temporary;Others;6
1/01/17;a18af8fbae254d86;temporary;Corn;6
1/01/17;d0f5f5b9fcecb0d8;temporary;Rice;6
1/01/17;f67358b81451a8d1;permanent;Others;6
1/01/17;3cf541a13002d37b;permanent;Cocoa;6
1/01/17;64a227aa24370b17;temporary;Beans;7
1/01/17;74d75dde6dc4a5ec;permanent;Açaí;7
1/01/17;72b65b337fc5302a;temporary;Others;8
1/01/17;07ce2e79e19977e9;temporary;Others;8
1/01/17;18e37d24ff8517ef;temporary;Rice;8
1/01/17;71975b563db10671;permanent;Cocoa;8
1/01/17;1d8a692643f9a15a;temporary;Others;10
1/01/17;fa005e1ffef6032a;temporary;Others;10
1/01/17;7b95e27ce402e6e5;temporary;Others;10
1/01/17;a454a6655aaaaaed;temporary;Others;10
1/01/17;c45d8ddba643c0d7;temporary;Others;10
1/01/17;df19203419d2ea64;temporary;Rice;10
1/01/17;47564ef7b8c69829;temporary;Rice;10
1/01/17;5b3728d86ce29fd2;temporary;Corn;10
1/01/17;03e477d4ede00e89;temporary;Rice;10
1/01/17;07ed828db19fe8ca;temporary;Rice;10
1/01/17;56aa50429893f5ca;temporary;Rice;10
1/01/17;07ce2e79e19977e9;temporary;Corn;10
1/01/17;164c8953d3af2bbe;temporary;Rice;10
1/01/17;9bd4f108a319de42;permanent;Others;10
1/01/17;56aa50429893f5ca;permanent;Others;10
1/01/17;9bc907eeb9e3fc52;permanent;Others;10
1/01/17;07ce2e79e19977e9;permanent;Others;10
1/01/17;c118b149223ba711;permanent;Cocoa;10
1/01/17;77c880feff17c521;permanent;Cocoa;10
1/01/17;10973d6049af898b;permanent;Açaí;10
1/01/17;be8a37473dc63db0;permanent;Açaí;10
1/01/17;47564ef7b8c69829;permanent;Açaí;10
1/01/17;47564ef7b8c69829;temporary;Others;11
1/01/17;062ce4c17e84291e;permanent;Others;11
1/01/17;164c8953d3af2bbe;temporary;Beans;12
1/01/17;051e9cc7d7636816;permanent;Others;12
1/01/17;a1b03f0e4d79b4fe;permanent;Cocoa;12
1/01/17;9ce50fa197613de1;permanent;Açaí;12
1/01/17;0307883b5d063703;temporary;Others;14
1/01/17;617532f74ef8ed73;temporary;Rice;14
1/01/17;c0019c9a4b4819f2;temporary;Beans;14
1/01/17;18e37d24ff8517ef;temporary;Beans;14
1/01/17;9bc907eeb9e3fc52;temporary;Cassava;14
1/01/17;746cc42bfb8f6b62;permanent;Others;14
1/01/17;d42d0e216f57b2ae;permanent;Others;14
1/01/17;1096f26c5a236d0b;temporary;Others;15
1/01/17;5214b514b5b440be;temporary;Others;15
1/01/17;ba4547c678a9a2e6;temporary;Others;15
1/01/17;be4424aa54f8d2ae;temporary;Others;15
1/01/17;ec84c1e86735dc9b;temporary;Rice;15
1/01/17;051e9cc7d7636816;temporary;Corn;15
1/01/17;114487007645c940;temporary;Rice;15
1/01/17;b73e63cd3a2904c9;temporary;Rice;15
1/01/17;855f882ce507aba5;temporary;Rice;15
1/01/17;b4bb04d2a6472ea0;temporary;Corn;15
1/01/17;3a8618990d23351f;temporary;Rice;15
1/01/17;a454a6655aaaaaed;temporary;Beans;15
1/01/17;437130e27b6165ec;temporary;Beans;15
1/01/17;d0f5f5b9fcecb0d8;temporary;Beans;15
1/01/17;d0f5f5b9fcecb0d8;temporary;Corn;15
1/01/17;5b3728d86ce29fd2;permanent;Others;15
1/01/17;c118b149223ba711;permanent;Others;15
1/01/17;de1994d393ef525a;permanent;Açaí;15
1/01/17;5e1e131ec84f4c87;permanent;Açaí;15
1/01/17;6a7b8c3ab2bc6c38;permanent;Açaí;15
1/01/17;3cf541a13002d37b;temporary;Rice;16
1/01/17;d0f5f5b9fcecb0d8;temporary;Others;17
1/01/17;4c4428f2e4550a5a;temporary;Rice;18
1/01/17;71975b563db10671;temporary;Beans;18
1/01/17;b4829f1e221d9778;temporary;Beans;18
1/01/17;617532f74ef8ed73;temporary;Beans;18
1/01/17;a7187a1b5b870cf4;permanent;Açaí;18
1/01/17;7e56bd83460aabc7;permanent;Açaí;18
